KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
422233,42223,1,1,,
4223,422,1,1,,
42231,4223,1,1,,
422311,42231,1,1,,
422312,42231,1,1,,
42232,4223,1,1,,
422321,42232,1,1,,
422322,42232,1,1,,
423,42,1,1,,
4231,423,1,1,,
42311,4231,1,1,,
423111,42311,1,1,,
42312,4231,1,1,,
423121,42312,1,1,,
423122,42312,1,1,,
4231221,423122,1,1,,
4231222,423122,1,1,,
423123,42312,1,1,,
4231231,423123,1,1,,
4231232,423123,1,1,,
4231233,423123,1,1,,
423124,42312,1,1,,
4231241,423124,1,1,,
42313,4231,1,1,,
423131,42313,1,1,,
4231311,423131,1,1,,
4231312,423131,2,2,,
4231313,423131,2,2,,
423132,42313,1,1,,
4231321,423132,1,1,,
4231322,423132,1,1,,
4231323,423132,1,1,,
423133,42313,1,1,,
4231331,423133,1,1,,
4231332,423133,1,1,,
42314,4231,1,1,,
423141,42314,1,1,,
4231411,423141,1,1,,
4231412,423141,1,1,,
4231413,423141,1,1,,
423142,42314,1,1,,
4231421,423142,1,1,,
4231422,423142,1,1,,
423143,42314,2,2,,
423144,42314,2,2,,
4231441,423144,1,1,,
4231442,423144,1,1,,
42315,4231,1,1,,
423151,42315,1,1,,
4231511,423151,1,1,,
4231512,423151,1,1,,
423152,42315,1,1,,
4231521,423152,1,1,,
4231522,423152,1,1,,
423153,42315,1,1,,
4231531,423153,1,1,,
4231532,423153,1,1,,
4231533,423153,1,1,,
4232,423,1,1,,
42321,4232,1,1,,
423211,42321,1,1,,
4232111,423211,1,1,,
423212,42321,1,1,,
42322,4232,1,1,,
423221,42322,1,1,,
4232211,423221,1,1,,
4232212,423221,1,1,,
4232213,423221,1,1,,
423222,42322,1,1,,
4232221,423222,1,1,,
423223,42322,1,1,,
4232231,423223,1,1,,
4232232,423223,1,1,,
4233,423,1,1,,
42331,4233,1,1,,
423311,42331,1,1,,
4233112,423311,1,1,,
423312,42331,1,1,,
4233121,423312,1,1,,
4233122,423312,1,1,Yes,2003
42332,4233,1,1,,
423321,42332,1,1,,
4233211,423321,1,1,,
4233212,423321,1,1,,
423322,42332,1,1,,
4233221,423322,1,1,,
4233222,423322,1,1,,
42333,4233,1,1,,
423331,42333,1,1,,
423332,42333,1,1,,
423333,42333,1,1,,
423334,42333,1,1,,
4234,423,1,1,,
42341,4234,1,1,,
423411,42341,1,1,,
4234111,423411,1,1,,
4234112,423411,1,1,,
4234113,423411,1,1,,
423412,42341,1,1,,
4234121,423412,1,1,,
4234122,423412,1,1,,
42342,4234,1,1,,
423421,42342,1,1,,
424,42,1,1,,
425,42,1,1,,
4251,425,1,1,,
42511,4251,1,1,,
425111,42511,1,1,,
4251111,425111,1,1,,
4251112,425111,1,1,,
425112,42511,1,1,,
4251121,425112,1,1,,
4251122,425112,1,1,,
4251123,425112,1,1,,
425113,42511,1,1,,
4251131,425113,1,1,,
4251132,425113,1,1,,
42512,4251,1,1,,
425121,42512,1,1,,
4251211,425121,1,1,,
425122,42512,1,1,,
4251221,425122,1,1,,
4251222,425122,1,1,,
4251223,425122,1,1,,
425123,42512,1,1,,
4252,425,1,1,,
